id,title,thumbnail,categoryId,type,broker,params,region,area,ward,price,images,content,address,postedById,likeCount,commentCount,status,created,updated
60ab37b2539cf2c15d6ab9b8,Bán đầm bầu style Hàn Quốc ( hàng xách tay ),ban-dam-bau-style-han-quoc-hang-xach-tay--60ab37ae-2,1101,S,f,,13000,13099,0,1000000,"{ban-dam-bau-style-han-quoc-hang-xach-tay--60ab37ae-2,ban-dam-bau-style-han-quoc-hang-xach-tay--60ab37ae-1}","Mô tả:

Mama Style Shop là đơn vị cung cấp đầu bầu luôn được đông đảo khách hàng tin tưởng. Với hàng loạt mẫu mã thiết kế mới mẻ, hợp xu hướng thời trang, shop luôn cam kết về chất lượng hoàn hảo, sử dụng nguồn nguyên liệu cao cấp nên giúp người dùng yên tâm sử dụng.

Đầm bầu của Mama Style Shop freesize nên mẹ bầu có thể diện được cả thai kỳ lẫn sau sinh bằng các điều chỉnh dây cột tiện lợi.

Giá đầm bầu đẹp dao động trong khoảng từ 350.000 – 490.000 đồng/sản phẩm.",,60ab2d849ca6c0425202a746,0,0,A,2021-05-24 05:20:50.105,2021-05-24 05:30:58.672
60ab32f46a4647bdfe8700be,Cho thú cưng (Chó Big Bull),cho-thu-cung-cho-big-bull-60ab32cf-1,1202,B,f,,13000,13108,0,1400000,"{cho-thu-cung-cho-big-bull-60ab32cf-1,cho-thu-cung-cho-big-bull-60ab32cf-2}","Mình đang tìm chủ mới cho bé cưng của mình .
Chó giống Big Bull rất ngoan và vui
Ai có nhu cầu thì chat trực tiếp với mình nha",,60ab2d849ca6c0425202a746,0,0,A,2021-05-24 05:00:37.032,2021-05-24 05:08:57.824
60ab3f5c68b7212dc9577c99,Bán xe máy sirius 2013 (cũ) - 10 tr,ban-xe-may-sirius-2013-cu-10-tr-60ab3f55-2,0202,S,f,,13000,13101,0,10000000,"{ban-xe-may-sirius-2013-cu-10-tr-60ab3f55-2,ban-xe-may-sirius-2013-cu-10-tr-60ab3f55-1}"," Tôi đang có chiếc xe máy của ông anh đi xa muốn bán  , xe còn đẹp và chạy tốt, bốc đầu mấy lần không sao.

Nếu ai có như cầu thì liên hệ với mình ạ",,60ab2d849ca6c0425202a746,0,0,P,2021-05-24 05:53:32.234,2021-05-24 05:53:32.235
60ab3e9cc458dda625091102,Mua bàn học ngồi bệt,mua-ban-hoc-ngoi-bet-60ab3e98-1,0801,B,f,,2010,201004,0,100000,{mua-ban-hoc-ngoi-bet-60ab3e98-1},"Tôi muốn mua một bàn bệt để ngồi học dành cho sinh viên , tôi chỉ muốn mua cũ giá mềm tí, ai có nhu cầu thì chat trực tiếp với tôi ạ",,60ab2d849ca6c0425202a746,0,0,A,2021-05-24 05:50:20.138,2021-05-24 05:53:50.029
60ab3f59c3689e7c486560e2,Bán xe máy sirius 2013 (cũ) - 10 tr,ban-xe-may-sirius-2013-cu-10-tr-60ab3f55-2,0202,S,f,,13000,13101,0,10000000,"{ban-xe-may-sirius-2013-cu-10-tr-60ab3f55-2,ban-xe-may-sirius-2013-cu-10-tr-60ab3f55-1}"," Tôi đang có chiếc xe máy của ông anh đi xa muốn bán  , xe còn đẹp và chạy tốt, bốc đầu mấy lần không sao.

Nếu ai có như cầu thì liên hệ với mình ạ",,60ab2d849ca6c0425202a746,0,0,A,2021-05-24 05:53:29.477,2021-05-24 05:53:50.877
60ab406fc0fde8a22af690a8,Bán laptop gaming ASUS chip i7,ban-laptop-gaming-asus-chip-i7-60ab4069-1,0503,S,f,,1004,100405,0,125000,{ban-laptop-gaming-asus-chip-i7-60ab4069-1},"Tôi cần bán 1 con laptop cũ ở bắc ninh đã qua sử dụng : 
- Ram 12 GB bus 1866
- CPU 8500U - i7 Thế hệ 8
- SSD 125 GB

ai mua liên hệ ạ, xin cám ơn",,60ab2d849ca6c0425202a746,0,0,A,2021-05-24 05:58:07.976,2021-05-24 05:58:20.213
60ab4047a3dcd17e152f883d,May tinh ban,may-tinh-ban-60ab4044-1,0507,S,f,,1007,100702,0,8,{may-tinh-ban-60ab4044-1},"May tinh ban
8.000.000 đ


Nhấn để hiện số: 090531 ***
Tình trạng
Tình trạng: Đã sử dụng (chưa sửa chữa)",,60a7b447e522e7f144960a30,0,0,A,2021-05-24 05:57:27.944,2021-05-24 06:05:08.623
60ab41ee5956102c9302e022,Bán tủ lạnh Samsung 8Lit - cũ 1.4tr,ban-tu-lanh-samsung-8lit-cu-14tr-60ab41ec-1,0903,S,f,,13000,13099,0,140000,{ban-tu-lanh-samsung-8lit-cu-14tr-60ab41ec-1},"Tôi cần bán tủ lạnh cũ  8 lít giá sinh viên
ai có nhu cầu liên hệ nha ",,60ab2d849ca6c0425202a746,0,0,A,2021-05-24 06:04:31.083,2021-05-24 06:05:10.879
60ab40abcd790bc22687ee02,May tinh chien game lien minh,may-tinh-chien-game-lien-minh-60ab40a3-1,0507,S,f,,10064,1006402,0,2,{may-tinh-chien-game-lien-minh-60ab40a3-1},"Ko sữ dụng máy chơi còn tốt chiến liên minh cf ok tất tần tật

Nhấn để hiện số: 090597 ***
Tình trạng
Tình trạng: Đã sử dụng (chưa sửa chữa)
Kích cỡ màn hình
Kích cỡ màn hình: 19 - 20.9 inch
RAM
RAM: 4 GB
Card màn hình
Card màn hình: NVIDIA
Ổ cứng
Ổ cứng: 250 GB",,60a7b447e522e7f144960a30,0,0,R,2021-05-24 05:59:07.033,2021-05-24 06:05:43.511
60ab3a053f39fae940bbdfb7,Tìm bạn ở ghép giá 1.5Tr/tháng,tim-ban-o-ghep-gia-15trthang-60ab3a03-1,0101,T,f,,13000,13100,0,150000,"{tim-ban-o-ghep-gia-15trthang-60ab3a03-1,tim-ban-o-ghep-gia-15trthang-60ab3a03-2}","[Tìm người ở ghép] 1.5tr/th Full Nội thất
đ/c : Trường tiểu học Bình Triệu .
Tìm bạn sinh viên share phòng giá 1.5tr/tháng ( hiện tại đã có 2 người)
LH : 0947 509 171
Phòng full nội thất
Bếp từ nấu ăn
Quạt
Máy lạnh
Tủ lạnh
tivi samsung 43inchs 2020
máy nước nóng
Máy giặt
Phòng rộng nên cần tìm thêm 2-4 bạn nữa . ai đang có nhu cầu thì để lại cmt mình inbx cho hoặc gọi và số điện thoại trên, xin cám ơn",,60ab2d849ca6c0425202a746,1,0,A,2021-05-24 05:30:45.493,2021-05-24 07:23:42.425
60ab40a5253cacafca4dbef1,May tinh chien game lien minh,may-tinh-chien-game-lien-minh-60ab40a3-1,0507,S,f,,10064,1006402,0,2,{may-tinh-chien-game-lien-minh-60ab40a3-1},"Ko sữ dụng máy chơi còn tốt chiến liên minh cf ok tất tần tật

Nhấn để hiện số: 090597 ***
Tình trạng
Tình trạng: Đã sử dụng (chưa sửa chữa)
Kích cỡ màn hình
Kích cỡ màn hình: 19 - 20.9 inch
RAM
RAM: 4 GB
Card màn hình
Card màn hình: NVIDIA
Ổ cứng
Ổ cứng: 250 GB",,60a7b447e522e7f144960a30,0,0,A,2021-05-24 05:59:01.578,2021-05-24 06:05:09.42
60ab438c2867e102422ae4db,Bán đồng hồ Eterna Legacy Automatic ,,0305,S,f,,13000,13100,0,135000,{},"ĐỒNG HỒ ETERNA LEGACY AUTOMATIC 2951.53.11.1701, thiết kế mặt chải tia rất đẹp, tông màu gold sang trọng, thiết kế siêu mỏng với độ dày chỉ 9.5 mm. 1 mẫu đồng hồ rất đẹp đến từ thương hiệu lâu đời Eterna.

⌚Thông tin chi tiết

Xuất xứ: Đồng Hồ Thụy Sỹ
Thương hiệu: ETERNA
Mã sản phẩm: 2951.53.11.1701
Loại máy: Cơ (Automatic)
Chất liệu kính: Sapphire
Chất liệu dây: Dây kim loại
Kích thước: 41,5 mm
Độ dày: 9,6 mm nhưng lên tay như 6-7mm ạ
Chống nước: 50 m

-----------------------------------
Giá hãng 2600$ ~ 70t nhưng đến với em giá sập sàn chỉ 18,5 triệu thôi nhé ae!",,60ab2d849ca6c0425202a746,0,0,P,2021-05-24 06:11:24.569,2021-05-24 06:11:24.57
60ab4471fb3258a81d2e8a04,Bán đồng hồ Eterna Legacy Automatic ,ban-dong-ho-eterna-legacy-automatic--60ab446e-1,0305,S,f,,1005,100507,0,199000,{ban-dong-ho-eterna-legacy-automatic--60ab446e-1},"ĐỒNG HỒ ETERNA LEGACY AUTOMATIC 2951.53.11.1701, thiết kế mặt chải tia rất đẹp, tông màu gold sang trọng, thiết kế siêu mỏng với độ dày chỉ 9.5 mm. 1 mẫu đồng hồ rất đẹp đến từ thương hiệu lâu đời Eterna.

⌚Thông tin chi tiết

Xuất xứ: Đồng Hồ Thụy Sỹ
Thương hiệu: ETERNA
Mã sản phẩm: 2951.53.11.1701
Loại máy: Cơ (Automatic)
Chất liệu kính: Sapphire
Chất liệu dây: Dây kim loại
Kích thước: 41,5 mm
Độ dày: 9,6 mm nhưng lên tay như 6-7mm ạ
Chống nước: 50 m",,60ab2d849ca6c0425202a746,0,0,A,2021-05-24 06:15:13.102,2021-05-24 06:15:20.025
60ab442093f788750e087b20,Bán lại Nước hoa con báo,ban-lai-nuoc-hoa-con-bao-60ab441f-1,0308,S,f,,13000,13098,0,145000,{ban-lai-nuoc-hoa-con-bao-60ab441f-1},"Nước hoa để trên xe ôtô hoặc để trong phòng khách.
Giá chỉ 200k/1chai
Liên hệ zalo nhé mọi người. Thanks",,60ab2d849ca6c0425202a746,0,0,A,2021-05-24 06:13:52.155,2021-05-24 06:15:21.951
60ab46072b3ba34d57b86a60,Bán chó cưng pooed nâu đỏ,ban-cho-cung-pooed-nau-do-60ab4605-1,1202,S,f,,13000,13106,0,140000,{ban-cho-cung-pooed-nau-do-60ab4605-1},"nhà có đàn pooed nâu đỏ
Tìm sen, Cái đực có đủ cả ạ",,60ab2d849ca6c0425202a746,0,0,P,2021-05-24 06:21:59.678,2021-05-24 06:21:59.679
60ab4551da27bec195d4caf9,Mèo anh lông ngắn màu xám,meo-anh-long-ngan-mau-xam-60ab454f-1,1205,S,f,,13000,13103,0,800000,{meo-anh-long-ngan-mau-xam-60ab454f-1},"Bé mèo được hơn 2 tháng tuổi
Đã tiêm 1 mũi vacxin
Bảo hành sức khỏe bé 1 tuần và tiêm đủ 2 mũi vacxin",,60ab2d849ca6c0425202a746,1,1,A,2021-05-24 06:18:57.742,2021-05-24 07:16:55.662
60ab44e1af5d3eb3e13c7ce9,Thanh lí giày nam công sở,thanh-li-giay-nam-cong-so-60ab44de-1,0306,S,f,,13000,13100,0,175000,{thanh-li-giay-nam-cong-so-60ab44de-1},"Mình có giày như hình side 41 chưa sử dụng bạn nào cần mình để lại ạ, giày mới như hình còn hộp",,60ab2d849ca6c0425202a746,1,0,A,2021-05-24 06:17:05.214,2021-05-24 07:17:29.203
60ab5366a94bf87be60b8e1f,Cho thuê phòng trọ,cho-thue-phong-tro-60ab5360-1,0105,T,f,,5028,502805,0,2323232,"{cho-thue-phong-tro-60ab5360-1,cho-thue-phong-tro-60ab5360-2}",Cho thuê phòng,,60a1296af601509a40766998,1,1,A,2021-05-24 07:19:02.963,2021-05-24 07:21:54.907
60ab5563ccc6f1a30ef590d9,Cần bán xe máy,can-ban-xe-may-60ab555d-1,0202,S,f,,0,0,0,22222,{can-ban-xe-may-60ab555d-1},Cần bán xe máy,,60ab2d849ca6c0425202a746,1,1,A,2021-05-24 07:27:31.568,2021-05-24 07:29:18.921
60ab7a8b0754021da3f9aec0,Cho thuê phòng trọ giá rẻ 4,cho-thue-phong-tro-gia-re-4-60ab7a82-1,0103,R,f,,1004,100404,0,22222,{cho-thue-phong-tro-gia-re-4-60ab7a82-1},sdasdasdas,,60a1296af601509a40766998,0,0,P,2021-05-24 10:06:03.48,2021-05-24 10:06:03.482
60ab39339391f751e8197590,Ứng tuyển vị trí node js junior,ung-tuyen-vi-tri-node-js-junior-60ab392f-1,1302,B,f,,13000,13099,0,150000,{ung-tuyen-vi-tri-node-js-junior-60ab392f-1},"Tôi đang mong muốn tìm vị trí công việc backend dev Junior Nodejs 
Năng lực & Kinh nghiệm : 
- Làm 3 dự án lớn trong đó có 1 dự án về Blockchain
- Tốt nghiệp đại học Bách Khoa",,60ab2d849ca6c0425202a746,1,0,A,2021-05-24 05:27:15.119,2021-05-24 12:54:42.237